GEOID,NAME,variable,estimate,moe,label
17,Illinois,B01001_006,287189,414,Estimate!!Total!!Male!!15 to 17 years
18,Indiana,B01001_006,143834,468,Estimate!!Total!!Male!!15 to 17 years
19,Iowa,B01001_006,65187,405,Estimate!!Total!!Male!!15 to 17 years
20,Kansas,B01001_006,62559,684,Estimate!!Total!!Male!!15 to 17 years
21,Kentucky,B01001_006,91335,638,Estimate!!Total!!Male!!15 to 17 years
22,Louisiana,B01001_006,99269,472,Estimate!!Total!!Male!!15 to 17 years
23,Maine,B01001_006,28187,289,Estimate!!Total!!Male!!15 to 17 years
24,Maryland,B01001_006,127680,363,Estimate!!Total!!Male!!15 to 17 years
25,Massachusetts,B01001_006,136684,295,Estimate!!Total!!Male!!15 to 17 years
26,Michigan,B01001_006,233199,428,Estimate!!Total!!Male!!15 to 17 years
27,Minnesota,B01001_006,115638,372,Estimate!!Total!!Male!!15 to 17 years
28,Mississippi,B01001_006,67234,555,Estimate!!Total!!Male!!15 to 17 years
29,Missouri,B01001_006,130150,506,Estimate!!Total!!Male!!15 to 17 years
30,Montana,B01001_006,21062,442,Estimate!!Total!!Male!!15 to 17 years
31,Nebraska,B01001_006,39569,205,Estimate!!Total!!Male!!15 to 17 years
32,Nevada,B01001_006,56843,295,Estimate!!Total!!Male!!15 to 17 years
33,New Hampshire,B01001_006,29509,206,Estimate!!Total!!Male!!15 to 17 years
34,New Jersey,B01001_006,193821,306,Estimate!!Total!!Male!!15 to 17 years
35,New Mexico,B01001_006,46430,337,Estimate!!Total!!Male!!15 to 17 years
36,New York,B01001_006,418824,958,Estimate!!Total!!Male!!15 to 17 years
37,North Carolina,B01001_006,195998,798,Estimate!!Total!!Male!!15 to 17 years
38,North Dakota,B01001_006,14082,261,Estimate!!Total!!Male!!15 to 17 years
39,Ohio,B01001_006,256980,523,Estimate!!Total!!Male!!15 to 17 years
40,Oklahoma,B01001_006,80397,544,Estimate!!Total!!Male!!15 to 17 years
41,Oregon,B01001_006,78766,350,Estimate!!Total!!Male!!15 to 17 years
42,Pennsylvania,B01001_006,274096,513,Estimate!!Total!!Male!!15 to 17 years
44,Rhode Island,B01001_006,22321,211,Estimate!!Total!!Male!!15 to 17 years
45,South Carolina,B01001_006,96466,535,Estimate!!Total!!Male!!15 to 17 years
46,South Dakota,B01001_006,17825,252,Estimate!!Total!!Male!!15 to 17 years
47,Tennessee,B01001_006,133742,593,Estimate!!Total!!Male!!15 to 17 years
48,Texas,B01001_006,572382,976,Estimate!!Total!!Male!!15 to 17 years
49,Utah,B01001_006,65642,273,Estimate!!Total!!Male!!15 to 17 years
50,Vermont,B01001_006,13635,174,Estimate!!Total!!Male!!15 to 17 years
51,Virginia,B01001_006,166066,774,Estimate!!Total!!Male!!15 to 17 years
53,Washington,B01001_006,143420,399,Estimate!!Total!!Male!!15 to 17 years
54,West Virginia,B01001_006,35986,347,Estimate!!Total!!Male!!15 to 17 years
55,Wisconsin,B01001_006,125272,428,Estimate!!Total!!Male!!15 to 17 years
56,Wyoming,B01001_006,11799,213,Estimate!!Total!!Male!!15 to 17 years
72,Puerto Rico,B01001_006,89083,NA,Estimate!!Total!!Male!!15 to 17 years
01,Alabama,B01001_007,71526,688,Estimate!!Total!!Male!!18 and 19 years
02,Alaska,B01001_007,11068,354,Estimate!!Total!!Male!!18 and 19 years
04,Arizona,B01001_007,94765,420,Estimate!!Total!!Male!!18 and 19 years
05,Arkansas,B01001_007,43312,792,Estimate!!Total!!Male!!18 and 19 years
06,California,B01001_007,579103,859,Estimate!!Total!!Male!!18 and 19 years
08,Colorado,B01001_007,72827,810,Estimate!!Total!!Male!!18 and 19 years
09,Connecticut,B01001_007,50900,302,Estimate!!Total!!Male!!18 and 19 years
10,Delaware,B01001_007,13336,97,Estimate!!Total!!Male!!18 and 19 years
11,District of Columbia,B01001_007,11691,566,Estimate!!Total!!Male!!18 and 19 years
12,Florida,B01001_007,258920,1001,Estimate!!Total!!Male!!18 and 19 years
13,Georgia,B01001_007,149217,1780,Estimate!!Total!!Male!!18 and 19 years
15,Hawaii,B01001_007,17705,121,Estimate!!Total!!Male!!18 and 19 years
16,Idaho,B01001_007,22928,473,Estimate!!Total!!Male!!18 and 19 years
17,Illinois,B01001_007,191076,1013,Estimate!!Total!!Male!!18 and 19 years
18,Indiana,B01001_007,99794,621,Estimate!!Total!!Male!!18 and 19 years
19,Iowa,B01001_007,47017,537,Estimate!!Total!!Male!!18 and 19 years
20,Kansas,B01001_007,44873,759,Estimate!!Total!!Male!!18 and 19 years
21,Kentucky,B01001_007,62055,879,Estimate!!Total!!Male!!18 and 19 years
22,Louisiana,B01001_007,67601,728,Estimate!!Total!!Male!!18 and 19 years
23,Maine,B01001_007,19081,314,Estimate!!Total!!Male!!18 and 19 years
24,Maryland,B01001_007,83540,713,Estimate!!Total!!Male!!18 and 19 years
25,Massachusetts,B01001_007,100095,474,Estimate!!Total!!Male!!18 and 19 years
26,Michigan,B01001_007,157372,1185,Estimate!!Total!!Male!!18 and 19 years
27,Minnesota,B01001_007,76334,504,Estimate!!Total!!Male!!18 and 19 years
28,Mississippi,B01001_007,48465,961,Estimate!!Total!!Male!!18 and 19 years
29,Missouri,B01001_007,89307,781,Estimate!!Total!!Male!!18 and 19 years
30,Montana,B01001_007,14582,431,Estimate!!Total!!Male!!18 and 19 years
31,Nebraska,B01001_007,27329,368,Estimate!!Total!!Male!!18 and 19 years
32,Nevada,B01001_007,35110,374,Estimate!!Total!!Male!!18 and 19 years
